gvkey,cik,company,reporting_year,reporting_quarter,form,accession,filing_date,report_date,period_start,period_end,period_end_imputed,compustat_active_year,event_warning_letter,event_recall,event_adverse_event,event_any,event_letter_or_recall,n_warning_letter,n_recall,n_recall_class_i,n_recall_class_ii,n_recall_class_iii,n_adverse_event,n_mdr_tier_a,n_mdr_tier_b,n_8k_warning_letter,n_8k_recall,n_8k_adverse_event,n_8k_any_event,has_8k_warning_letter,has_8k_recall,has_8k_adverse_event,has_8k_any_event,mda_warning_letter_substantive_flag,mda_recall_substantive_flag,mda_adverse_event_substantive_flag,filing_year,has_risk_factors,has_mda,rf_chars,mda_chars,rf_warning_letter_mentions,rf_warning_letter_substantive,mda_warning_letter_mentions,mda_warning_letter_substantive,warning_letter_substantive_total,warning_letter_mentions_total,rf_recall_mentions,rf_recall_substantive,mda_recall_mentions,mda_recall_substantive,recall_substantive_total,recall_mentions_total,rf_adverse_event_mentions,rf_adverse_event_substantive,mda_adverse_event_mentions,mda_adverse_event_substantive,adverse_event_substantive_total,adverse_event_mentions_total,warning_letter_data_covered,fy_start,fy_warning_letter_data_covered,fy_n_warning_letter,fy_event_warning_letter,fy_n_recall,fy_event_recall,fy_n_adverse_event,fy_event_adverse_event
1078,1800,ABBOTT LABORATORIES,2004,4,10-K,0001047469-05-005185,2005-03-02,2004-12-31,2004-09-30,2004-12-31,0,1,0,1,1,1,1,0,12,0,0,0,43,32,11,0,0,0,0,0,0,0,0,0,0,0,2005,False,True,0,53503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-12-31,0,0,0,26,1,522,1
1078,1800,ABBOTT LABORATORIES,2005,1,10-Q,0001047469-05-013749,2005-05-06,2005-03-31,2004-12-31,2005-03-31,0,1,0,1,1,1,1,0,4,0,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,2005,False,True,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2005,2,10-Q,0001104659-05-035965,2005-08-03,2005-06-30,2005-03-31,2005-06-30,0,1,0,1,1,1,1,0,2,0,0,0,38,30,8,0,0,0,0,0,0,0,0,0,0,0,2005,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2005,3,10-Q,0001104659-05-051849,2005-11-02,2005-09-30,2005-06-30,2005-09-30,0,1,0,1,1,1,1,0,3,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0,2005,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2005,4,10-K,0001047469-06-002258,2006-02-22,2005-12-31,2005-09-30,2005-12-31,0,1,0,1,1,1,1,0,5,0,0,0,34,22,12,0,0,0,0,0,0,0,0,0,0,0,2006,True,True,17528,53388,1,0,0,0,0,1,4,0,0,0,0,4,1,0,0,0,0,1,0,2004-12-31,0,0,0,14,1,105,1
1078,1800,ABBOTT LABORATORIES,2006,1,10-Q,0001104659-06-031160,2006-05-04,2006-03-31,2005-12-31,2006-03-31,0,1,0,1,1,1,1,0,1,0,0,0,24,18,6,0,0,0,0,0,0,0,0,0,0,0,2006,True,False,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2006,2,10-Q,0001104659-06-052230,2006-08-08,2006-06-30,2006-03-31,2006-06-30,0,1,0,1,1,1,1,0,4,0,0,0,24,19,5,0,0,0,0,0,0,0,0,0,0,0,2006,False,True,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2006,3,10-Q,0001104659-06-072216,2006-11-07,2006-09-30,2006-06-30,2006-09-30,0,1,0,1,1,1,1,0,3,0,0,0,23,13,10,0,0,0,0,0,0,0,0,0,0,0,2006,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1078,1800,ABBOTT LABORATORIES,2006,4,10-K,0001104659-07-013496,2007-02-23,2006-12-31,2006-09-30,2006-12-31,0,1,0,1,1,1,1,0,5,0,0,0,85,65,20,0,0,0,0,0,0,0,0,0,0,0,2007,True,True,17433,55396,1,0,0,0,0,1,4,0,0,0,0,4,1,0,0,0,0,1,0,2005-12-31,0,0,0,13,1,156,1
1078,1800,ABBOTT LABORATORIES,2007,1,10-Q,0001104659-07-036512,2007-05-07,2007-03-31,2006-12-31,2007-03-31,0,1,0,1,1,1,1,0,7,0,0,0,38,25,13,0,0,0,0,0,0,0,0,0,0,0,2007,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
