lead_sponsor_name,orig_conm,drop_sic,n_trials
Alcon Research,ALCON INC,3851,620
Boston Scientific Corporation,BOSTON SCIENTIFIC CORP,3841,530
Zimmer Biomet,ZIMMER BIOMET HOLDINGS INC,3842,275
Medtronic Cardiac Rhythm and Heart Failure,MEDTRONIC PLC,3845,262
Bausch & Lomb Incorporated,BAUSCH & LOMB CORP,3851,180
Medtronic - MITG,MEDTRONIC PLC,3845,178
GE Healthcare,GE HEALTHCARE TECHNOLOGI INC,3844,165
"Smith & Nephew, Inc.",SMITH & NEPHEW PLC,3842,131
Edwards Lifesciences,EDWARDS LIFESCIENCES CORP,3842,126
C. R. Bard,BARD (C.R.) INC,3841,115
ResMed,RESMED INC,3841,104
Masimo Corporation,MASIMO CORP,3845,103
"Orion Corporation, Orion Pharma",ORION SA,2890,100
PepsiCo Global R&D,PEPSICO INC,2080,98
HK inno.N Corporation,INNO HOLDINGS INC,3317,95
Fisher and Paykel Healthcare,FISHER & PAYKEL HEALTHCARE,3845,83
Procter and Gamble,PROCTER & GAMBLE CO,2840,83
EMS,EMS TECHNOLOGIES INC,3663,82
Integra LifeSciences Corporation,INTEGRA INC,8093,81
Cordis US Corp.,CORDIS CORP,3841,78
"Medtronic MiniMed, Inc.",MINIMED INC,3842,72
Medtronic Cardiovascular,MEDTRONIC PLC,3845,69
Unilever R&D,UNILEVER PLC,2840,69
Glaukos Corporation,GLAUKOS CORP,3841,65
PTC Therapeutics,PTC INC,7372,64
Solventum US LLC,SOLVENTUM CORP,3841,63
Medtronic Vascular,MEDTRONIC PLC,3845,60
Mead Johnson Nutrition,MEAD JOHNSON NUTRITION CO,2000,58
Intuitive Surgical,INTUITIVE SURGICAL INC,3842,58
CENTOGENE GmbH Rostock,CENTOGENE NV,8071,57
"TCI Co., Ltd.",TCI INTL INC,3663,57
Medtronic Spinal and Biologics,MEDTRONIC PLC,3845,57
"Clinical Nutrition Research Center, Illinois Institute of Technology",TECHNOLOGY RESEARCH CORP,3613,56
"Becton, Dickinson and Company",BECTON DICKINSON & CO,3841,55
Vantive Health LLC,VANTIVE CORP,7372,54
HALEON,HALEON PLC,2844,53
CIBA VISION,CIBA HOLDING AG,2810,52
"Cynosure, Inc.",CYNOSURE INC,3845,52
Medtronic Endovascular,MEDTRONIC PLC,3845,50
DePuy Orthopaedics,DEPUY INC,3842,45
Stryker Orthopaedics,STRYKER CORP,3841,43
DePuy International,DEPUY INC,3842,42
Medtronic,MEDTRONIC PLC,3845,42
Cutera Inc.,CUTERA INC,3845,42
Stryker Trauma and Extremities,STRYKER CORP,3841,42
Syneron Medical,SYNERON MEDICAL LTD,3845,41
Bausch & Lomb Incorporated,BAUSCH & LOMB HLDGS  -REDH,3851,41
LivaNova,LIVANOVA PLC,3845,40
Philips Respironics,RESPIRONICS INC,3842,40
AB Science,AMERICAN SCIENCE ENGINEERING,3844,39
Zeltiq Aesthetics,ZELTIQ AESTHETICS INC,3845,39
NuVasive,NUVASIVE INC,3841,38
China National Biotec Group Company Limited,NATIONAL HOLDINGS CORP,6200,37
Fresenius Medical Care Deutschland GmbH,FRESENIUS MEDICAL CARE AG,8090,35
"MiMedx Group, Inc.",MIMEDX GROUP INC,3841,35
Medtronic Cardiac Ablation Solutions,MEDTRONIC PLC,3845,34
Dentsply Sirona Implants and Consumables,DENTSPLY SIRONA INC,3843,34
Zoll Medical Corporation,ZOLL MEDICAL CORP,3845,34
Reckitt Benckiser Healthcare (UK) Limited,BENCKISER NV,2840,34
Venus Concept,VENUS CONCEPT INC,3841,34
Abiomed Inc.,ABIOMED INC,3841,33
"Natera, Inc.",NATERA INC,8071,32
"AtriCure, Inc.",ATRICURE INC,3841,32
Penumbra Inc.,PENUMBRA INC,3841,32
Lumenis Be Ltd.,LUMENIS LTD,5047,32
"Church & Dwight Company, Inc.",CHURCH & DWIGHT INC,2840,32
"DexCom, Inc.",DEXCOM INC,3841,31
"Beckman Coulter, Inc.",BECKMAN COULTER INC,3826,31
