lead_sponsor_name,gvkey,start_year,end_year,note,sponsor_norm
"Janssen Research & Development, LLC",006266,1900,2099,Subsidiary of Johnson & Johnson; fixes bad fuzzy match to RESEARCH INC,janssen research and development llc
Janssen Research & Development,006266,1900,2099,J&J subsidiary,janssen research and development
Janssen Pharmaceutica N.V.,006266,1900,2099,J&J subsidiary,janssen pharmaceutica n v
Janssen Vaccines & Prevention B.V.,006266,1900,2099,J&J subsidiary,janssen vaccines and prevention b v
Janssen Sciences Ireland UC,006266,1900,2099,J&J subsidiary,janssen sciences ireland uc
Janssen-Cilag International NV,006266,1900,2099,J&J subsidiary,janssen-cilag international nv
Janssen-Cilag Ltd.,006266,1900,2099,J&J subsidiary,janssen-cilag ltd
Janssen-Cilag G.m.b.H,006266,1900,2099,J&J subsidiary,janssen-cilag g m b h
Janssen-Cilag S.A.,006266,1900,2099,J&J subsidiary,janssen-cilag s a
Janssen-Cilag Pty Ltd,006266,1900,2099,J&J subsidiary,janssen-cilag pty ltd
Janssen Pharmaceuticals,006266,1900,2099,J&J subsidiary,janssen pharmaceuticals
Janssen LP,006266,1900,2099,J&J subsidiary,janssen lp
Tibotec BVBA,006266,1900,2099,J&J HIV subsidiary,tibotec bvba
Tibotec Pharmaceuticals,006266,1900,2099,J&J HIV subsidiary,tibotec pharmaceuticals
"Centocor, Inc.",006266,1900,2099,J&J subsidiary,centocor inc
"Centocor Ortho Biotech, Inc.",006266,1900,2099,J&J subsidiary,centocor ortho biotech inc
Wyeth is now a wholly owned subsidiary of Pfizer,001478,1900,2008,Wyeth pre-Pfizer acquisition,wyeth is now a wholly owned subsidiary of pfizer
Wyeth is now a wholly owned subsidiary of Pfizer,008530,2009,2099,Pfizer post-acquisition (Oct 2009),wyeth is now a wholly owned subsidiary of pfizer
Wyeth,001478,1900,2008,Wyeth pre-Pfizer,wyeth
Wyeth,008530,2009,2099,Pfizer post-Wyeth-acquisition,wyeth
"Genentech, Inc.",005020,1900,2008,Genentech standalone pre-Roche,genentech inc
"Genentech, Inc.",UNMAPPED,2009,2099,Genentech as Roche subsidiary; Roche not in US link table,genentech inc
Genentech,005020,1900,2008,Genentech standalone pre-Roche,genentech
Genentech,UNMAPPED,2009,2099,Genentech as Roche subsidiary,genentech
"Genzyme, a Sanofi Company",012233,1900,2010,Genzyme standalone pre-Sanofi,genzyme a sanofi company
"Genzyme, a Sanofi Company",101204,2011,2099,Sanofi post-Genzyme-acquisition (Apr 2011),genzyme a sanofi company
Genzyme,012233,1900,2010,Genzyme standalone,genzyme
Genzyme,101204,2011,2099,Sanofi post-Genzyme-acquisition,genzyme
Genzyme Corp.,012233,1900,2010,Genzyme standalone,genzyme corp
Genzyme Corp.,101204,2011,2099,Sanofi post-Genzyme,genzyme corp
Shire,212340,1900,2018,Shire pre-Takeda,shire
Shire,100718,2019,2099,Takeda post-Shire-acquisition (Jan 2019),shire
Shire Human Genetic Therapies,212340,1900,2018,Shire HGT,shire human genetic therapies
Shire Human Genetic Therapies,100718,2019,2099,Takeda post-acquisition,shire human genetic therapies
Allergan,027845,1900,2019,Allergan plc pre-AbbVie,allergan
Allergan,016101,2020,2099,AbbVie post-Allergan-acquisition (May 2020),allergan
"Stiefel, a GSK Company",005180,1900,2099,GSK subsidiary,stiefel a gsk company
"Pacira Pharmaceuticals, Inc",185836,1900,2099,Pacira Biosciences (renamed); fixes fuzzy mismatch,pacira pharmaceuticals inc
"Pacira Biosciences, Inc",185836,1900,2099,Pacira Biosciences,pacira biosciences inc
"Bausch Health Americas, Inc.",029955,1900,2099,Bausch Health Companies; fixes fuzzy mismatch,bausch health americas inc
Bausch & Lomb Incorporated,040605,2022,2099,Bausch & Lomb post-spinoff,bausch and lomb incorporated
Bausch & Lomb Incorporated,002085,1900,2007,Bausch & Lomb pre-J&J era,bausch and lomb incorporated
"Sanofi Pasteur, a Sanofi Company",101204,1900,2099,Sanofi vaccines division,sanofi pasteur a sanofi company
Sanofi Pasteur,101204,1900,2099,Sanofi vaccines division,sanofi pasteur
Boehringer Ingelheim,UNMAPPED,1900,2099,Privately held German firm,boehringer ingelheim
Boehringer Ingelheim Pharmaceuticals,UNMAPPED,1900,2099,Privately held German firm,boehringer ingelheim pharmaceuticals
Boehringer Ingelheim Pharma GmbH & Co. KG,UNMAPPED,1900,2099,Privately held German firm,boehringer ingelheim pharma gmbh and co kg
Hoffmann-La Roche,UNMAPPED,1900,2099,Swiss subsidiary of Roche Holding; Roche not in CRSP link,hoffmann-la roche
F. Hoffmann-La Roche Ltd,UNMAPPED,1900,2099,Roche subsidiary,f hoffmann-la roche ltd
Roche Diagnostics,UNMAPPED,1900,2099,Roche subsidiary,roche diagnostics
Roche Pharma AG,UNMAPPED,1900,2099,Roche subsidiary,roche pharma ag
Astellas Pharma Inc,UNMAPPED,1900,2099,Japanese (ALPMY ADR not in CRSP link),astellas pharma inc
"Astellas Pharma Global Development, Inc.",UNMAPPED,1900,2099,Astellas US subsidiary,astellas pharma global development inc
Astellas Pharma Europe Ltd.,UNMAPPED,1900,2099,Astellas EU subsidiary,astellas pharma europe ltd
Daiichi Sankyo,UNMAPPED,1900,2099,Japanese (DSKYY ADR not in CRSP link),daiichi sankyo
"Daiichi Sankyo, Inc.",UNMAPPED,1900,2099,Daiichi Sankyo US subsidiary,daiichi sankyo inc
"Daiichi Sankyo Co., Ltd.",UNMAPPED,1900,2099,Daiichi Sankyo Japan,daiichi sankyo co ltd
Eisai Inc.,UNMAPPED,1900,2099,Japanese (ESALY ADR not in CRSP link),eisai inc
"Eisai Co., Ltd.",UNMAPPED,1900,2099,Eisai Japan,eisai co ltd
