sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
acacia pharma,326702,override,,,,,
j and j pharma subsidiary,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
janssen,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
janssen biotech,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
janssen pharmaceutica,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
janssen pharmaceuticals,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
janssen research and development,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
johnson and johnson,006266,override,,JOHNSON & JOHNSON,JNJ,0000200406,22111
keymed biosciences,349484,override,,,,,
leo pharma,,override,,,,,
mallinckrodt,018086,override,,MALLINCKRODT PLC,MNKTQ,0001567892,23497
medicines,101310,override,,NOVARTIS AG,NVS,0001114448,88233
medimmune,028272,override,,ASTRAZENECA PLC,AZN,0000901832,79363
merck sharp and dohme,007257,override,,MERCK & CO,MRK,0000310158,22752
novo nordisk a s,008020,override,,NOVO NORDISK A/S,NVO,0000353278,63263
peplin,241956,override,,,,,
roche,025648,override,,,,,
samsung bioepis,322757,override,,,,,
shire,100718,override,,TAKEDA PHARMACEUTICAL CO LTD,TAK,0001395064,18298
spectrum pharmaceuticals,065944,override,,ASSERTIO HOLDINGS INC,ASRT,0001808665,85686
stealth biotherapeutics,034593,override,,STEALTH BIOTHERA -ADR,MITO,0001696396,18409
swedish orphan biovitrum,279143,override,,,,,
takeda,100718,override,,TAKEDA PHARMACEUTICAL CO LTD,TAK,0001395064,18298
the medicines,101310,override,,NOVARTIS AG,NVS,0001114448,88233
titan pharmaceuticals,061836,override,,TITAN PHARMACEUTICALS INC,TTNP,0000910267,82848
vbi vaccines,025289,override,,VBI VACCINES INC,VBIVQ,0000764195,16043
ipsen,156293,override,,TERCICA INC,TRCA.1,0001262175,90096
hoffmann la roche,025648,override,,,,,
novo nordisk,008020,override,,NOVO NORDISK A/S,NVO,0000353278,63263
genzyme a sanofi,101204,override,,SANOFI,SNY,0001121404,89475
glaxosmithkline,005180,override,,GSK PLC,GSK,0001131399,75064
affymax,176237,override,,AFFYMAX INC,AFFY,0001158223,91657
akeso,338273,override,,,,,
allergan,016101,override,,ABBVIE INC,ABBV,0001551152,13721
astellas pharma global development,100668,override,,,,,
astrazeneca ab,028272,override,,ASTRAZENECA PLC,AZN,0000901832,79363
basilea pharmaceutica,264031,override,,,,,
