cik,company,sic,accession,document,file_date,period_ending,items,discovery_phrase,url,lead_source,doc_chars,has_fda_context,flag_warning_letter,body_mentions_warning_letter,flag_adverse_event,body_mentions_adverse_event,flag_recall,body_mentions_recall,flag_untitled_letter,body_mentions_untitled_letter,n_flags,n_flags_incl_untitled,domain_device_hits,domain_device_lead_hits,domain_drug_hits,domain_drug_lead_hits,domain_biologic_hits,domain_biologic_lead_hits,product_domain,is_device_domain
200406,JOHNSON & JOHNSON  (JNJ)  (CIK 0000200406),2834.0,0000200406-04-000071,aprilsecondeightk.txt,2004-04-05,2004-04-02,1,"""warning letter""",https://www.sec.gov/Archives/edgar/data/200406/000020040604000071/aprilsecondeightk.txt,exhibit_top,1332,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
200406,JOHNSON & JOHNSON  (JNJ)  (CIK 0000200406),2834.0,0000200406-04-000071,exhibitninetynineseventeen.txt,2004-04-05,2004-04-02,1,"""warning letter""",https://www.sec.gov/Archives/edgar/data/200406/000020040604000071/exhibitninetynineseventeen.txt,exhibit_top,3261,True,True,True,False,False,False,False,False,False,1,1,2,1,0,0,0,0,device,True
310764,STRYKER CORP  (SYK)  (CIK 0000310764),3841.0,0000310764-09-000053,syk8k051109.htm,2009-05-11,2009-05-05,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/310764/000031076409000053/syk8k051109.htm,item_anchored,2407,True,True,True,False,False,False,False,False,False,1,1,2,1,0,0,0,0,device,True
310764,STRYKER CORP  (SYK)  (CIK 0000310764),3841.0,0000310764-10-000059,ex99syk8k.htm,2010-05-21,2010-05-19,8.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/310764/000031076410000059/ex99syk8k.htm,exhibit_top,2201,True,True,True,False,False,False,False,False,False,1,1,3,2,0,0,0,0,device,True
310764,STRYKER CORP  (SYK)  (CIK 0000310764),3841.0,0000310764-17-000157,syk8k082317.htm,2017-08-24,2017-08-23,8.01,"""product recall""; ""warning letter""",https://www.sec.gov/Archives/edgar/data/310764/000031076417000157/syk8k082317.htm,item_anchored,5903,True,False,True,False,False,True,True,False,False,1,1,0,0,0,0,0,0,unspecified,False
742112,INVACARE CORP  (CIK 0000742112),3842.0,0000742112-17-000088,sep2017form8k.htm,2017-09-25,2017-09-20,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/742112/000074211217000088/sep2017form8k.htm,item_anchored,4607,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
742112,INVACARE CORP  (CIK 0000742112),3842.0,0000742112-18-000003,jan32018form8k.htm,2018-01-05,2018-01-03,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/742112/000074211218000003/jan32018form8k.htm,item_anchored,4602,True,True,True,False,False,False,False,False,False,1,1,0,0,0,0,0,0,unspecified,False
742112,INVACARE CORP  (CIK 0000742112),3842.0,0000742112-21-000081,ivc-20211201.htm,2021-12-01,2021-12-01,7.01; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/742112/000074211221000081/ivc-20211201.htm,item_anchored,6345,True,True,True,True,True,False,False,False,False,2,2,1,1,0,0,0,0,device,True
784199,CRYOLIFE INC  (AORT)  (CIK 0000784199),3841.0,0000784199-15-000108,c199-20150428ex991ea7236.htm,2015-04-28,2015-04-28,2.02; 9.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/784199/000078419915000108/c199-20150428ex991ea7236.htm,exhibit_top,11725,True,True,True,False,False,False,False,False,False,1,1,3,1,0,0,0,0,device,True
789132,SPECTRANETICS CORP  (CIK 0000789132),3845.0,0000789132-16-000231,a8-k2016fdawarningletter.htm,2016-06-07,2016-05-23,8.01,"""warning letter""",https://www.sec.gov/Archives/edgar/data/789132/000078913216000231/a8-k2016fdawarningletter.htm,item_anchored,5764,True,True,True,False,False,False,False,False,False,1,1,2,0,0,0,0,0,device,True
