company_name_fda,normalized_name,candidate_compustat_name,candidate_gvkey,similarity,n_letters,product_types,accept
Green Planet Inc,GREEN PLANET,PLANET GREEN,160196,100.0,1,Drugs,
Philips North America LLC,PHILIPS NORTH AMERICA,NORTH AMERICAN PHILIPS,007946,97.7,1,Devices,
"Philips North America, LLC",PHILIPS NORTH AMERICA,NORTH AMERICAN PHILIPS,007946,97.7,1,Devices,
Estar Technologies Ltd.,ESTAR TECHNOLOGIES,STAR TECHNOLOGIES,010026,97.1,1,Biologics,
Atrium Innovation Limited,ATRIUM INNOVATION,ATRIUM INNOVATIONS,272705,97.1,1,Devices,
"EPH Technologies, Inc.",EPH TECHNOLOGIES,EP TECHNOLOGIES,028692,96.8,1,Drugs,
"DISCOVER HEALTH, LLC",DISCOVER HEALTH,HEALTH DISCOVERY,145723,96.8,1,Drugs,
Quanta System SpA,QUANTA SYSTEM,QUANTA SYSTEMS,008860,96.3,1,Devices,
"Pharmaceutical Innovations, Inc.",PHARMACEUTICAL INNOVATIONS,INNOVATION PHARMACEUTICALS,176692,96.2,1,Devices,
Peace Medical Inc.,PEACE MEDICAL,PACE MEDICAL,013593,96.0,1,Devices,
Flir System AB,FLIR SYSTEM,FLIR SYSTEMS,028477,95.7,1,Devices,
Cadila Pharmaceuticals Limited,CADILA PHARMACEUTICALS,ACADIA PHARMACEUTICALS,141846,95.5,1,Drugs,
Alora Pharmaceuticals,ALORA PHARMACEUTICALS,ALGORAE PHARMACEUTICALS,271277,95.5,1,Drugs,
"Deltex Pharmaceuticals, Inc",DELTEX PHARMACEUTICALS,GELTEX PHARMACEUTICALS,061508,95.5,1,Drugs,
Vista Pharmaceuticals Limited,VISTA PHARMACEUTICALS,VITAE PHARMACEUTICALS,021422,95.2,2,Drugs,
Fresh Farms LLC,FRESH FARMS,FARM FRESH,004577,95.2,1,Drugs,
Tiber Pharmaceuticals LLC,TIBER PHARMACEUTICALS,TIBET PHARMACEUTICALS,184886,95.2,1,Drugs,
