company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types
3M Company,3M,matched,007435,3M CO,1,False,1,2010-06-07,2010-06-07,True,False,False,True,Devices
"ACell, Inc",ACELL,matched,036689,ACELL INC -REDH,1,False,1,2013-04-26,2013-04-26,True,False,False,True,Devices
"ADMA Biologics, Inc",ADMA BIOLOGICS,matched,017653,ADMA BIOLOGICS INC,1,False,1,2014-11-25,2014-11-25,False,False,True,True,Biologics
"AMAG Pharmaceuticals, Inc.",AMAG PHARMACEUTICALS,matched,012250,AMAG PHARMACEUTICALS INC,1,False,1,2010-10-18,2010-10-18,False,True,False,True,Drugs
AS Global INC,GLOBAL,matched,180503,GLOBAL HOLDINGS INC,1,True,1,2023-01-10,2023-01-10,False,True,False,True,Drugs
Abaxis Inc,ABAXIS,matched,024888,ABAXIS INC,1,False,1,2019-04-12,2019-04-12,True,False,False,True,Devices
Abbott Laboratories,ABBOTT LABORATORIES,matched,001078,ABBOTT LABORATORIES,1,False,2,2009-07-14,2023-10-24,False,True,True,True,Biologics; Drugs
"Abiomed, Inc.",ABIOMED,matched,013619,ABIOMED INC,1,False,2,2011-06-10,2023-09-19,True,False,False,True,Devices
Accentia BioPharmaceuticals,ACCENTIA BIOPHARMACEUTICALS,matched,162956,ACCENTIA BIOPHARMACEUTICALS,1,False,1,2009-11-13,2009-11-13,False,True,False,True,Drugs
"Acclarent, Inc.",ACCLARENT,matched,180230,ACCLARENT INC -REDH,1,False,2,2012-06-14,2013-03-20,True,False,False,True,Devices
Acme United Corporation,ACME UNITED,matched,001104,ACME UNITED CORP,1,False,1,2025-10-10,2025-10-10,False,True,False,True,Drugs
"Acorda Therapeutics, Inc.",ACORDA THERAPEUTICS,matched,156617,ACORDA THERAPEUTICS INC,1,False,2,2012-05-10,2013-07-25,False,True,False,True,Drugs
"Airgas USA, LLC",AIRGAS,matched,012950,AIRGAS INC,1,False,1,2010-12-01,2010-12-01,False,True,False,True,Drugs
"Akers Biosciences, Inc.",AKERS BIOSCIENCES,matched,275264,AKERS BIOSCIENCES INC,1,False,1,2011-10-04,2011-10-04,False,False,True,True,Biologics
Akorn Operating Company LLC,AKORN OPERATING,matched,014304,AKORN OPERATING COMPANY LLC,1,False,1,2019-06-13,2019-06-13,False,True,False,True,Drugs
"Alexion Pharmaceuticals, Inc.",ALEXION PHARMACEUTICALS,matched,062263,ALEXION PHARMACEUTICALS INC,1,False,1,2013-03-22,2013-03-22,False,True,False,True,Drugs
Align Technology Inc,ALIGN TECHNOLOGY,matched,141384,ALIGN TECHNOLOGY INC,1,False,1,2010-11-17,2010-11-17,True,False,False,True,Devices
