company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types,match_source,valid_from_year,valid_to_year,match_note
21st Century LaserMed Pain Institute,21ST CENTURY LASERMED PAIN INSTITUTE,matched,010771,21ST CENTURY GROUP INC,1,True,1,2020-07-21,2020-07-21,False,False,True,True,Biologics,parent_prefix,1900,2099,parent prefix: 21ST CENTURY
21st Century Scientific Inc,21ST CENTURY SCIENTIFIC,matched,010771,21ST CENTURY GROUP INC,1,True,1,2019-05-13,2019-05-13,True,False,False,True,Devices,parent_prefix,1900,2099,parent prefix: 21ST CENTURY
"23andMe, Inc.",23ANDME,matched,038717,CHROME HOLDING CO,1,False,1,2013-11-22,2013-11-22,True,False,False,True,Devices,ct_fuzzy,1900,2099,"CT crosswalk (fuzzy_extended, score 100)"
3M Company,3M,matched,007435,3M CO,1,False,1,2010-06-07,2010-06-07,True,False,False,True,Devices,exact_normalized,1900,2099,
AB Science,SCIENCE,matched,001554,AMERICAN SCIENCE ENGINEERING,1,False,2,2014-04-02,2015-06-16,False,True,False,True,Drugs; Veterinary,ct_dropped_device,1900,2099,CT device-sponsor list (conm: AMERICAN SCIENCE ENGINEERING)
"ACell, Inc",ACELL,matched,036689,ACELL INC -REDH,1,False,1,2013-04-26,2013-04-26,True,False,False,True,Devices,exact_normalized,1900,2099,
"ADMA Biologics, Inc",ADMA BIOLOGICS,matched,017653,ADMA BIOLOGICS INC,1,False,1,2014-11-25,2014-11-25,False,False,True,True,Biologics,exact_normalized,1900,2099,
"AMAG Pharmaceuticals, Inc.",AMAG PHARMACEUTICALS,matched,012250,AMAG PHARMACEUTICALS INC,1,False,1,2010-10-18,2010-10-18,False,True,False,True,Drugs,exact_normalized,1900,2099,
AS Global INC,GLOBAL,matched,180503,GLOBAL HOLDINGS INC,1,True,1,2023-01-10,2023-01-10,False,True,False,True,Drugs,exact_normalized,1900,2099,
Abaxis Inc,ABAXIS,matched,024888,ABAXIS INC,1,False,1,2019-04-12,2019-04-12,True,False,False,True,Devices,exact_normalized,1900,2099,
