company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,first_letter_date,last_letter_date,any_device_letter,any_drug_letter,any_biologic_letter,any_medtech_pharma,product_types
1 Nation Nutrition LLC,1 NATION NUTRITION,unmatched,,,0,False,1,2017-10-23,2017-10-23,False,True,False,True,Drugs
1 Party At A Time,1 PARTY AT A TIME,unmatched,,,0,False,1,2020-09-01,2020-09-01,False,True,False,True,Drugs
1800 Get Thin LLC,1800 GET THIN,unmatched,,,0,False,1,2011-12-09,2011-12-09,True,False,False,True,Devices
20/20 Institute,20 20 INSTITUTE,unmatched,,,0,False,1,2012-12-18,2012-12-18,True,False,False,True,Devices
2035 PMA,2035 PMA,unmatched,,,0,False,1,2011-03-02,2011-03-02,True,False,False,True,Devices
2187954 ALBERTA INC.,2187954 ALBERTA,unmatched,,,0,False,1,2024-04-30,2024-04-30,False,True,False,True,Drugs
21st Century LaserMed Pain Institute,21ST CENTURY LASERMED PAIN INSTITUTE,unmatched,,,0,False,1,2020-07-21,2020-07-21,False,False,True,True,Biologics
21st Century Scientific Inc,21ST CENTURY SCIENTIFIC,unmatched,,,0,False,1,2019-05-13,2019-05-13,True,False,False,True,Devices
"221 Enterprises, LLC.",221 ENTERPRISES,unmatched,,,0,False,1,2014-08-07,2014-08-07,False,True,False,True,Drugs
"23andMe, Inc.",23ANDME,unmatched,,,0,False,1,2013-11-22,2013-11-22,True,False,False,True,Devices
24hr Doc,24HR DOC,unmatched,,,0,False,1,2026-02-20,2026-02-20,False,True,False,True,Drugs
"3B Medical, Inc.",3B MEDICAL,unmatched,,,0,False,1,2026-05-21,2026-05-21,True,False,False,True,Devices
"3CPM Company., INC.- EndoSure, Inc.",3CPM ENDOSURE,unmatched,,,0,False,1,2010-03-25,2010-03-25,True,False,False,True,Devices
3D Imaging Drug Design and Development LLC,3D IMAGING DRUG DESIGN AND DEVELOPMENT,unmatched,,,0,False,1,2025-12-04,2025-12-04,False,True,False,True,Drugs
"4E Global, S.A.P.I. de C.V.",4E GLOBAL S A P I DE C V,unmatched,,,0,False,1,2020-10-23,2020-10-23,False,True,False,True,Drugs
4U health,4U HEALTH,unmatched,,,0,False,1,2026-03-17,2026-03-17,False,False,True,True,Biologics
4nrx.md,4NRX MD,unmatched,,,0,False,1,2020-05-14,2020-05-14,False,True,False,True,Drugs
77 Elektronika Kft.,77 ELEKTRONIKA KFT,unmatched,,,0,False,1,2015-10-08,2015-10-08,True,False,False,True,Devices
"7Tabz Retail, LLC",7TABZ RETAIL,unmatched,,,0,False,1,2025-06-25,2025-06-25,False,True,False,True,Drugs
8046255 Canada Inc. DBA Viatrexx,8046255 CANADA VIATREXX,unmatched,,,0,False,1,2020-06-11,2020-06-11,False,True,False,True,Drugs
911 Water,911 WATER,unmatched,,,0,False,1,2009-05-13,2009-05-13,True,False,False,True,Devices
9mm Special Effects,9MM SPECIAL EFFECTS,unmatched,,,0,False,1,2015-05-19,2015-05-19,True,False,False,True,Devices
"A & D Electronics (Shenzhen) Co., Ltd.",A AND D ELECTRONICS SHENZHEN,unmatched,,,0,False,1,2012-11-13,2012-11-13,True,False,False,True,Devices
A C COSSOR & SON (SURGICAL) LIMITED,A C COSSOR AND SON SURGICAL,unmatched,,,0,False,1,2013-01-07,2013-01-07,True,False,False,True,Devices
A-S Medication Solutions LLC,A S MEDICATION SOLUTIONS,unmatched,,,0,False,1,2017-06-05,2017-06-05,False,True,False,True,Drugs
"A. Nelson & Co., Ltd.",A NELSON AND,unmatched,,,0,False,2,2012-07-26,2026-02-12,False,True,False,True,Drugs
A.I.G Technologies Inc.,A I G TECHNOLOGIES,unmatched,,,0,False,1,2017-12-05,2017-12-05,False,True,False,True,Drugs
"A.J.'s Candles, Inc",A J S CANDLES,unmatched,,,0,False,1,2010-02-17,2010-02-17,True,False,False,True,Devices
"A.P. Deauville, LLC",A P DEAUVILLE,unmatched,,,0,False,1,2019-11-08,2019-11-08,False,True,False,True,Drugs
A.R.C. LASER GMBH,A R C LASER,unmatched,,,0,False,1,2014-05-21,2014-05-21,True,False,False,True,Devices
"AAA Cosmetica, SA de CV",AAA COSMETICA DE CV,unmatched,,,0,False,1,2021-02-03,2021-02-03,False,True,False,True,Drugs
"AACE Pharmaceuticals, Inc.",AACE PHARMACEUTICALS,unmatched,,,0,False,1,2025-05-13,2025-05-13,False,True,False,True,Drugs
AB Science,SCIENCE,unmatched,,,0,False,2,2014-04-02,2015-06-16,False,True,False,True,Drugs; Veterinary
"ABBE Laboratories, Inc.",ABBE LABORATORIES,unmatched,,,0,False,1,2025-08-06,2025-08-06,False,True,False,True,Drugs
"ABC Compounding Co., Inc.",ABC COMPOUNDING,unmatched,,,0,False,1,2019-04-18,2019-04-18,False,True,False,True,Drugs
"ABCO Laboratories, Inc.",ABCO LABORATORIES,unmatched,,,0,False,1,2012-06-19,2012-06-19,False,True,False,True,Drugs
ABR Laboratory LLC,ABR LABORATORY,unmatched,,,0,False,1,2025-02-10,2025-02-10,False,True,False,True,Drugs
ACMH Hospital IRB,ACMH HOSPITAL IRB,unmatched,,,0,False,1,2024-10-29,2024-10-29,False,True,False,True,Drugs
ACRX Specialty Pharmacy Inc,ACRX SPECIALTY PHARMACY,unmatched,,,0,False,1,2020-07-24,2020-07-24,False,True,False,True,Drugs
ACS Dobfar S.p.A.,ACS DOBFAR S P A,unmatched,,,0,False,1,2017-01-13,2017-01-13,False,True,False,True,Drugs
ADVANCED SPECIALTY PHARMACY LLC,ADVANCED SPECIALTY PHARMACY,unmatched,,,0,False,1,2012-03-16,2012-03-16,False,True,False,True,Drugs
AES Optics,AES OPTICS,unmatched,,,0,False,1,2010-11-18,2010-11-18,True,False,False,True,Devices
"AG Essence, Inc.",ESSENCE,unmatched,,,0,False,1,2024-06-18,2024-06-18,True,False,False,True,Devices
AG Hair Ltd.,HAIR,unmatched,,,0,False,1,2022-11-28,2022-11-28,False,True,False,True,Drugs
AG Industries LLC,INDUSTRIES,unmatched,,,0,False,1,2015-06-12,2015-06-12,True,False,False,True,Devices
AGFA Healthcare Corp.,AGFA HEALTHCARE,unmatched,,,0,False,1,2014-09-30,2014-09-30,True,False,False,True,Devices
AGFA Healthcare Corporation,AGFA HEALTHCARE,unmatched,,,0,False,1,2011-04-15,2011-04-15,True,False,False,True,Devices
AKRON FORMULATIONS INDIA PRIVATE LIMITED,AKRON FORMULATIONS INDIA PRIVATE,unmatched,,,0,False,1,2024-12-17,2024-12-17,False,True,False,True,Drugs
ALBA Bioscience Limited,ALBA BIOSCIENCE,unmatched,,,0,False,1,2009-02-03,2009-02-03,False,False,True,True,Biologics
ALIVE BY NATURE LLC,ALIVE BY NATURE,unmatched,,,0,False,1,2020-05-06,2020-05-06,False,True,False,True,Drugs
"ALK-Abello, Inc.",ALK ABELLO,unmatched,,,0,False,1,2019-06-24,2019-06-24,False,True,False,True,Drugs
ALLURE IMPORTS,ALLURE IMPORTS,unmatched,,,0,False,1,2021-04-07,2021-04-07,False,True,False,True,Drugs
ALV Supplement Direct,ALV SUPPLEMENT DIRECT,unmatched,,,0,False,1,2016-03-03,2016-03-03,False,True,False,True,Drugs
AM Rx,AM RX,unmatched,,,0,False,1,2026-06-09,2026-06-09,False,True,False,True,Drugs
AMBI Enterprises LLC,AMBI ENTERPRISES,unmatched,,,0,False,1,2022-04-13,2022-04-13,False,True,False,True,Drugs
"AMCO International Manufacturing & Design, Inc.",AMCO MANUFACTURING AND DESIGN,unmatched,,,0,False,1,2024-06-25,2024-06-25,True,False,False,True,Devices
"AMKS TIME RELEASE LAB, LLC",AMKS TIME RELEASE LAB,unmatched,,,0,False,1,2014-04-10,2014-04-10,False,True,False,True,Drugs
AMMAN PHARMACEUTICAL INDUSTRIES,AMMAN PHARMACEUTICAL INDUSTRIES,unmatched,,,0,False,2,2023-09-11,2024-02-14,False,True,False,True,Drugs
"AMMD Labs, LLC",AMMD LABS,unmatched,,,0,False,1,2019-05-07,2019-05-07,False,True,False,True,Drugs
AMMONIASPORT LLC,AMMONIASPORT,unmatched,,,0,False,1,2024-03-18,2024-03-18,False,True,False,True,Drugs
AMO Uppsala AB,AMO UPPSALA,unmatched,,,0,False,1,2009-09-18,2009-09-18,True,False,False,True,Devices
AMPAC Fine Chemicals LLC,AMPAC FINE CHEMICALS,unmatched,,,0,False,1,2010-07-01,2010-07-01,False,True,False,True,Drugs
AMRUTAM LIFE CARE PRIVATE LIMITED,AMRUTAM LIFE CARE PRIVATE,unmatched,,,0,False,1,2013-07-15,2013-07-15,False,True,False,True,Drugs
