product_code,dev_device_name,dev_device_class,dev_medical_specialty,dev_medical_specialty_description,dev_review_panel,dev_regulation_number,dev_definition,dev_implant_flag,dev_life_sustain_support_flag,dev_gmp_exempt_flag,dev_third_party_flag,dev_summary_malfunction_reporting,dev_submission_type_id,dev_unclassified_reason,dev_device_class_num,dev_implant_flag_bool,dev_life_sustain_support_flag_bool,dev_gmp_exempt_flag_bool,dev_third_party_flag_bool
BTG,"Brush, Biopsy, Bronchoscope (Non-Rigid)",2,EN,"Ear, Nose, Throat",EN,874.4680,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,N,N,Y,Ineligible,1,,2,False,False,False,True
JZB,"Scissors, Ear",1,EN,"Ear, Nose, Throat",EN,874.4420,,N,N,N,N,Eligible,4,,1,False,False,False,False
EZW,"Stimulator, Electrical, Implantable, For Incontinence",3,GU,"Gastroenterology, Urology",GU,876.5270,PMAs to be filed by 12/26/96 (61 FR 50707 (9/27/96)),Y,N,N,N,Eligible,2,,3,True,False,False,False
JQK,"Immunodiffusion, Protein Fractionation",1,CH,Clinical Chemistry,CH,862.1630,,N,N,N,N,Eligible,4,,1,False,False,False,False
OND,Osmolality Of Tears,1,CH,Clinical Chemistry,CH,862.1540,"To measure the osmolality of human tears to aid in the diagnosis of patients with signs or symptoms of dry eye disease, in conjunction with other methods of clinical evaluation.",N,N,N,N,Eligible,4,,1,False,False,False,False
MYT,"Biosensor, Immunoassay, Cpk Or Isoenzymes",2,CH,Clinical Chemistry,CH,862.1215,,N,N,N,Y,Eligible,1,,2,False,False,False,True
PJB,Catheter Remote Control System,2,CV,Cardiovascular,CV,870.5700,"A steerable cardiac ablation catheter remote control system is a device that is external to the body and interacts with the manual handle of a steerable cardiac ablation catheter to remotely control the advancement, retraction, rotation, and deflection of a steerable ablation catheter used for the treatment of cardiac arrhythmias in the right side of the heart.  The device allows reversion to manual control of the steerable cardiac ablation catheter without withdrawal of the catheter and interruption of the procedure.",N,N,N,N,Eligible,1,,2,False,False,False,False
NRD,"Unit, Operative Dental, Accessories",1,DE,Dental,DE,872.6640,"Air compressor and vacuum unit that are connected to dental operative unit to provide compressed air and vacuum capability to power and drive other dental devices, which are attached to the dental operative unit.",N,N,N,N,Eligible,4,,1,False,False,False,False
LLL,"Extractable Antinuclear Antibody, Antigen And Control",2,IM,Immunology,IM,866.5100,,N,N,N,Y,Eligible,1,,2,False,False,False,True
QRZ,External Condom For Anal Intercourse Or Vaginal Intercourse,2,OB,Obstetrics/Gynecology,OB,884.5305,An external condom for anal intercourse or vaginal intercourse is a barrier device which covers the penis and is used to prevent the transmission of sexually transmitted infections (when used for anal intercourse or vaginal intercourse) and for contraception (when used for vaginal intercourse). This classification does not include condoms intended for vaginal intercourse only.,N,N,N,N,Ineligible,1,,2,False,False,False,False
