FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID,action_taken_date,company_name_clean,is_warning_letter,is_device,is_drug,is_biologic,is_medtech_pharma
2016148,International Medication Systems Ltd.,California,United States,Drugs,07/02/2026,Warning Letter,727560,2026-07-02,International Medication Systems Ltd.,True,False,True,False,True
3011578544,"Gentuity, LLC",Massachusetts,United States,Devices,07/02/2026,Warning Letter,731931,2026-07-02,"Gentuity, LLC",True,True,False,False,True
3017402674,Balkanica LLC,New Jersey,United States,Food/Cosmetics,06/29/2026,Warning Letter,732478,2026-06-29,Balkanica LLC,True,False,False,False,False
3007058211,Excel Vision,-,France,Drugs,06/25/2026,Warning Letter,726714,2026-06-25,Excel Vision,True,False,True,False,True
3010111779,Win Woo Trading Llc,California,United States,Food/Cosmetics,06/25/2026,Warning Letter,732696,2026-06-25,Win Woo Trading Llc,True,False,False,False,False
3030304532,Wizcure Pharmaa Private Limited,-,India,Drugs,06/24/2026,Warning Letter,726378,2026-06-24,Wizcure Pharmaa Private Limited,True,False,True,False,True
3003620800,Allandale Dairy,Minnesota,United States,Veterinary,06/23/2026,Warning Letter,727610,2026-06-23,Allandale Dairy,True,False,False,False,False
3009916152,Freeport Veterinary Services,Minnesota,United States,Veterinary,06/23/2026,Warning Letter,727610,2026-06-23,Freeport Veterinary Services,True,False,False,False,False
2129985,"Leedstone, Inc",Minnesota,United States,Veterinary,06/23/2026,Warning Letter,727610,2026-06-23,"Leedstone, Inc",True,False,False,False,False
3002756158,"Long Prairie Packing Company, LLC",Minnesota,United States,Veterinary,06/23/2026,Warning Letter,727610,2026-06-23,"Long Prairie Packing Company, LLC",True,False,False,False,False
3043544213,ketaminelab.org,-,Estonia,Drugs,06/23/2026,Warning Letter,728919,2026-06-23,ketaminelab.org,True,False,True,False,True
3044408515,Ket Plug,New York,United States,Drugs,06/23/2026,Warning Letter,728919,2026-06-23,Ket Plug,True,False,True,False,True
3018131601,"Eherbs Imports, Inc.",California,United States,Food/Cosmetics,06/23/2026,Warning Letter,732692,2026-06-23,"Eherbs Imports, Inc.",True,False,False,False,False
3003809840,Genzyme Ireland Limited,-,Ireland,Biologics,06/22/2026,Warning Letter,728681,2026-06-22,Genzyme Ireland Limited,True,False,False,True,True
3016994737,"Amazon.com, Inc.",Washington,United States,Drugs,06/17/2026,Warning Letter,728814,2026-06-17,"Amazon.com, Inc.",True,False,True,False,True
