firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
BAUSCH AND LOMB,BAUSCH AND LOMB,part803_unmatched,15538,ambiguous,2.0,,,,,,
PHYSIO CONTROL,PHYSIO CONTROL,part803_unmatched,14063,ambiguous,2.0,,,,,,
ALLERGAN,ALLERGAN,part803_unmatched,6133,ambiguous,2.0,,,,,,
MENTOR,MENTOR,part803_maude,3081,ambiguous,2.0,,,,,,
MINIMED INC.,MINIMED,part803_maude,2770,ambiguous,2.0,,,,,,
MEDEX,MEDEX,part803_unmatched,2721,ambiguous,2.0,,,,,,
LIFECORE BIOMEDICAL,LIFECORE BIOMEDICAL,part803_unmatched,1858,ambiguous,2.0,,,,,,
LUMENIS,LUMENIS,part803_unmatched,1397,ambiguous,2.0,,,,,,
CARDIAC SCIENCE,CARDIAC SCIENCE,part803_unmatched,1362,ambiguous,2.0,,,,,,
DADE BEHRING,DADE BEHRING,part803_unmatched,1144,ambiguous,2.0,,,,,,
"MINIMED, INC.",MINIMED,part803_maude,1035,ambiguous,2.0,,,,,,
KENDALL,KENDALL,part803_unmatched,944,ambiguous,2.0,,,,,,
ALCON,ALCON,part803_maude,564,ambiguous,2.0,,,,,,
MALLINCKRODT,MALLINCKRODT,part803_unmatched,548,ambiguous,2.0,,,,,,
SOLTA MEDICAL,SOLTA MEDICAL,part803_maude,409,ambiguous,2.0,,,,,,
MENTOR CORP.,MENTOR,part803_maude,382,ambiguous,2.0,,,,,,
"SOLTA MEDICAL, INC",SOLTA MEDICAL,part803_maude,319,ambiguous,2.0,,,,,,
"SOLTA MEDICAL, INC.",SOLTA MEDICAL,part803_maude,222,ambiguous,2.0,,,,,,
SOLTA MEDICAL INC.,SOLTA MEDICAL,part803_maude,192,ambiguous,2.0,,,,,,
LIFE TECHNOLOGIES,LIFE TECHNOLOGIES,part803_unmatched,123,ambiguous,2.0,,,,,,
SOLTA MEDICAL INC,SOLTA MEDICAL,part803_maude,115,ambiguous,2.0,,,,,,
MENTOR CORPORATION,MENTOR,part803_maude,107,ambiguous,2.0,,,,,,
MICROTEK MEDICAL,MICROTEK MEDICAL,part803_unmatched,101,ambiguous,2.0,,,,,,
MENTOR CORP,MENTOR,part803_maude,100,ambiguous,2.0,,,,,,
ACCURAY,ACCURAY,part803_unmatched,85,ambiguous,2.0,,,,,,
Bausch & Lomb Inc,BAUSCH AND LOMB,part806_recall,76,ambiguous,2.0,,,,,,
ORGANOGENESIS,ORGANOGENESIS,part803_unmatched,59,ambiguous,2.0,,,,,,
BIO PLEXUS,BIO PLEXUS,part803_unmatched,58,ambiguous,2.0,,,,,,
SYNERGETICS,SYNERGETICS,part803_unmatched,55,ambiguous,2.0,,,,,,
CARDIOGENESIS,CARDIOGENESIS,part803_unmatched,53,ambiguous,2.0,,,,,,
MINIMED,MINIMED,part803_maude,51,ambiguous,2.0,,,,,,
MINIMED INC,MINIMED,part803_maude,42,ambiguous,2.0,,,,,,
Cardiac Science Corporation,CARDIAC SCIENCE,part806_recall,40,ambiguous,2.0,,,,,,
"Physio-Control, Inc.",PHYSIO CONTROL,part806_recall,39,ambiguous,2.0,,,,,,
Synergetics Inc,SYNERGETICS,part806_recall,37,ambiguous,2.0,,,,,,
