normalized_name,firm_name_fda,gvkey,company_name_compustat,match_source,review_suggested,valid_from_year,valid_to_year,crosswalk_origin,source,n_records,match_status,n_gvkey_candidates,sic,costat,cik,cross_entity_family
21ST CENTURY LASERMED PAIN INSTITUTE,21st Century LaserMed Pain Institute,10771.0,21ST CENTURY GROUP INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
NATCO PHARMA,NATCO Pharma Limited,128759.0,NATCO GROUP INC,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
NOAH MEDICAL,Noah Medical Corporation,185783.0,NOAH HOLDINGS LIMITED,ct_dropped_device,False,1900,2099,letter_crosswalk,,,,,,,,
NEW GENERATION WELLNESS,New Generation Wellness Inc.,121318.0,NEW GENERATION HOLDINGS INC,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
NEW ENGLAND LIFE CARE ADVANCED COMPOUNDING SOLUTIONS,"New England Life Care, Inc. dba Advanced Compounding Solutions",7836.0,NEW ENGLAND CORP,parent_prefix,True,1900,2099,letter_crosswalk,,,,,,,,
NESTLE,Nestle USA,16603.0,NESTLE SA/AG,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
NEPHROS,"Nephros, Inc.",151423.0,NEPHROS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
NEOGEN,Neogen Corporation,16453.0,NEOGEN CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
NATUS MEDICAL,Natus Medical Incorporated,144436.0,NATUS MEDICAL INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
NATURE S SUNSHINE PRODUCTS,Nature'S Sunshine Products Inc,7799.0,NATURES SUNSHINE PRODS INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MYLAN PHARMACEUTICALS,Mylan Pharmaceuticals Inc,7637.0,VIATRIS INC,ct_override_windowed,False,1900,2099,letter_crosswalk,,,,,,,,
NOVABAY PHARMACEUTICALS,Novabay Pharmaceuticals Inc,177228.0,STABLECOIN DEVELOPMENT CORP,ct_resolved,False,1900,2099,letter_crosswalk,,,,,,,,
MOOG,Moog Inc,7549.0,MOOG INC  -CL A,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MOMENTUM,Momentum,21092.0,MOMENTUM CORP,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
MICRO LABS,Micro Labs Limited,107413.0,MICRO LABS INC,exact_normalized,True,1900,2099,letter_crosswalk,,,,,,,,
MIMEDX,"MiMedx Group, Inc.",178157.0,MIMEDX GROUP INC,exact_normalized,False,1900,2099,letter_crosswalk,,,,,,,,
