firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
STAAR SURGICAL COMPANY,STAAR SURGICAL,part803_maude,41734,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
ZIMMER,ZIMMER,part803_unmatched,34886,out_of_industry,,11685.0,ZIMMER CORP,3716.0,,,
"HILL-ROM, INC.",HILL ROM,part803_maude,22166,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"BECKMAN COULTER, INC.",BECKMAN COULTER,part803_maude,21291,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
BECKMAN COULTER,BECKMAN COULTER,part803_maude,20350,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
STAAR SURGICAL CO.,STAAR SURGICAL,part803_maude,9648,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
BECKMAN COULTER INC.,BECKMAN COULTER,part803_maude,9465,out_of_industry,,15106.0,BECKMAN COULTER INC,3826.0,,,
BAYER,BAYER,part803_maude,7814,out_of_industry,,100080.0,BAYER AG,2800.0,,,
HILL-ROM INC.,HILL ROM,part803_maude,6170,out_of_industry,,5639.0,HILL-ROM HOLDINGS INC,2590.0,,,
"MEDLINE INDUSTRIES, LP",MEDLINE INDUSTRIES,part803_maude,5437,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
CARDINAL HEALTH,CARDINAL HEALTH,part803_maude,5204,out_of_industry,,2751.0,CARDINAL HEALTH INC,5122.0,,,
DOW CORNING,DOW CORNING,part803_unmatched,3643,out_of_industry,,4061.0,DOW CORNING CORP,2821.0,,,
BAUSCH LOMB,BAUSCH LOMB,part803_unmatched,3454,out_of_industry,,40605.0,BAUSCH & LOMB CORP,3851.0,,,
"MEDLINE INDUSTRIES, INC.",MEDLINE INDUSTRIES,part803_maude,2522,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
STAAR SURGICAL,STAAR SURGICAL,part803_maude,2480,out_of_industry,,9969.0,STAAR SURGICAL CO,3851.0,,,
MEDLINE INDUSTRIES LP,MEDLINE INDUSTRIES,part803_maude,1563,out_of_industry,,7224.0,MEDLINE INDUSTRIES INC,2300.0,,,
