firm_name_fda,normalized_name,source,n_records,match_status,n_gvkey_candidates,gvkey,company_name_compustat,sic,costat,cik,cross_entity_family
MEDTRONIC PUERTO RICO OPERATIONS CO.,MEDTRONIC PUERTO RICO OPERATIONS,part803_maude,1974476,unmatched,,,,,,,
MEDTRONIC MINIMED,MEDTRONIC MINIMED,part803_maude,437096,unmatched,,,,,,,
"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)",ST JUDE MEDICAL CRM SYLMAR,part803_maude,193385,unmatched,,,,,,,
NOBEL BIOCARE,NOBEL BIOCARE,part803_unmatched,178034,unmatched,,,,,,,
INSTITUT STRAUMANN,INSTITUT STRAUMANN,part803_unmatched,173947,unmatched,,,,,,,
LIFESCAN EUROPE A DIVISION OF CILAG,LIFESCAN EUROPE A DIVISION OF CILAG,part803_unmatched,147956,unmatched,,,,,,,
DEPUY ORTHOPAEDICS INC US,DEPUY ORTHOPAEDICS,part803_maude,147658,unmatched,,,,,,,
BAXTER HEALTHCARE,BAXTER HEALTHCARE,part803_unmatched,136668,unmatched,,,,,,,
ABBOTT DIABETES CARE,ABBOTT DIABETES CARE,part803_unmatched,125845,unmatched,,,,,,,
MENTOR TEXAS,MENTOR TEXAS,part803_maude,116306,unmatched,,,,,,,
ETHICON ENDO SURGERY,ETHICON ENDO SURGERY,part803_unmatched,102759,unmatched,,,,,,,
ST. JUDE MEDICAL - NEUROMODULATION,ST JUDE MEDICAL NEUROMODULATION,part803_maude,94255,unmatched,,,,,,,
MEDTRONIC MED REL MEDTRONIC PUERTO RICO,MEDTRONIC MED REL MEDTRONIC PUERTO RICO,part803_maude,88053,unmatched,,,,,,,
ROCHE DIAGNOSTICS,ROCHE DIAGNOSTICS,part803_unmatched,86175,unmatched,,,,,,,
PHILIPS MEDICAL SYSTEMS,PHILIPS MEDICAL SYSTEMS,part803_unmatched,84086,unmatched,,,,,,,
LIFESCAN,LIFESCAN,part803_unmatched,80360,unmatched,,,,,,,
CAREFUSION SD,CAREFUSION SD,part803_unmatched,77928,unmatched,,,,,,,
"MEDTRONIC PUERTO RICO, INC.",MEDTRONIC PUERTO RICO,part803_maude,69777,unmatched,,,,,,,
MEDTRONIC IRELAND,MEDTRONIC IRELAND,part803_maude,65565,unmatched,,,,,,,
ZOLL MANUFACTURING,ZOLL MANUFACTURING,part803_unmatched,63728,unmatched,,,,,,,
