Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,posted_date,letter_issue_date,company_name_clean,device_by_office,device_by_subject,is_device_letter
04/14/2026,04/02/2026,Beauty of Aztlan LLC,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,,2026-04-14,2026-04-02,Beauty of Aztlan LLC,False,False,False
04/14/2026,04/01/2026,Rxgoodusa,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,,2026-04-14,2026-04-01,Rxgoodusa,False,False,False
04/14/2026,04/09/2026,"Medical Products Laboratories, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,,,2026-04-14,2026-04-09,"Medical Products Laboratories, Inc.",False,False,False
04/14/2026,04/07/2026,"Smart Vending Services, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,2026-04-14,2026-04-07,"Smart Vending Services, LLC",False,False,False
04/14/2026,03/03/2026,Ocean Group Inc.,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2026-04-14,2026-03-03,Ocean Group Inc.,False,False,False
04/14/2026,03/18/2026,Schlechter Farms Inc.,Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,2026-04-14,2026-03-18,Schlechter Farms Inc.,False,False,False
04/14/2026,03/03/2026,Barcelona Nut Company Inc.,Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,2026-04-14,2026-03-03,Barcelona Nut Company Inc.,False,False,False
04/14/2026,03/06/2026,Half Hill Farm Inc.,Human Foods Program,Unapproved New Drugs/Misbranded,,,2026-04-14,2026-03-06,Half Hill Farm Inc.,False,False,False
04/14/2026,04/02/2026,Purolea Cosmetics Lab,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,,,2026-04-14,2026-04-02,Purolea Cosmetics Lab,False,False,False
04/14/2026,04/03/2026,mohawksmoke.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,2026-04-14,2026-04-03,mohawksmoke.com,False,False,False
04/14/2026,04/01/2026,Dry Springs Pharmacy,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,,2026-04-14,2026-04-01,Dry Springs Pharmacy,False,False,False
04/14/2026,04/07/2026,Chemco Corporation,Center for Drug Evaluation and Research (CDER),Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,2026-04-14,2026-04-07,Chemco Corporation,False,False,False
04/14/2026,04/01/2026,Online Rx Medz,Center for Drug Evaluation and Research (CDER),Notice of Unlawful Sale of Unapproved Drugs to United States Consumers Over the Internet,,,2026-04-14,2026-04-01,Online Rx Medz,False,False,False
04/09/2026,04/01/2026,Pure Indulgence Aesthetics,Center for Drug Evaluation and Research (CDER),Drug Supply Chain Security Act (DSCSA) Violations,,,2026-04-09,2026-04-01,Pure Indulgence Aesthetics,False,False,False
04/07/2026,03/31/2026,Gram Peptides,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,Gram Peptides,False,False,False
04/07/2026,03/31/2026,PekCura Labs,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,PekCura Labs,False,False,False
04/07/2026,03/27/2026,"Ehsan Sadri, M.D.",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,,2026-04-07,2026-03-27,"Ehsan Sadri, M.D.",False,False,False
04/07/2026,03/31/2026,Lovega LLC dba Pink Pony Peptides,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,Lovega LLC dba Pink Pony Peptides,False,False,False
04/07/2026,03/31/2026,"Global Tobacco, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,2026-04-07,2026-03-31,"Global Tobacco, LLC",False,False,False
04/07/2026,03/31/2026,"Guangzhou Huli Technology Co., Ltd. dba Fantasy Face",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,"Guangzhou Huli Technology Co., Ltd. dba Fantasy Face",False,False,False
04/07/2026,03/31/2026,Mile High Compounds LLC,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,Mile High Compounds LLC,False,False,False
04/07/2026,03/25/2026,"Medline Industries, LP",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,,2026-04-07,2026-03-25,"Medline Industries, LP",True,True,True
04/07/2026,03/05/2026,Life Plus Style Gourmet LLC,Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,2026-04-07,2026-03-05,Life Plus Style Gourmet LLC,False,False,False
04/07/2026,03/31/2026,FormPour,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,FormPour,False,False,False
04/07/2026,03/31/2026,Prime Sciences,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs Sold Over the Internet,,,2026-04-07,2026-03-31,Prime Sciences,False,False,False
03/31/2026,03/27/2026,buydeltas.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,2026-03-31,2026-03-27,buydeltas.com,False,False,False
03/31/2026,03/26/2026,Henan Lvyuan Pharmaceutical Co. Ltd.,Center for Veterinary Medicine,CGMP/API/Adulterated,,,2026-03-31,2026-03-26,Henan Lvyuan Pharmaceutical Co. Ltd.,False,False,False
