gvkey,year,event_type,n_events,n_recall_class_i,n_recall_class_ii,n_recall_class_iii,n_mdr_tier_a,n_mdr_tier_b,company_name_compustat,sic,costat,cik
1078,1992,adverse_event,18,,,,17.0,1.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1993,adverse_event,31,,,,30.0,1.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1994,adverse_event,153,,,,151.0,2.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1995,adverse_event,103,,,,103.0,0.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1996,adverse_event,279,,,,272.0,7.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1997,adverse_event,640,,,,610.0,30.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1998,adverse_event,610,,,,586.0,24.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,1999,adverse_event,670,,,,644.0,26.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2000,adverse_event,807,,,,775.0,32.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2000,recall,1,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2001,adverse_event,1018,,,,997.0,21.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2001,recall,3,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2002,adverse_event,1095,,,,1065.0,30.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2002,recall,7,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2003,adverse_event,1449,,,,1412.0,37.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2003,recall,67,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2004,adverse_event,522,,,,481.0,41.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2004,recall,26,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2005,adverse_event,105,,,,80.0,25.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2005,recall,14,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2006,adverse_event,156,,,,115.0,41.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2006,recall,13,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2007,adverse_event,389,,,,340.0,49.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2007,recall,49,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2008,adverse_event,541,,,,532.0,9.0,ABBOTT LABORATORIES,3845.0,A,1800.0
1078,2008,recall,20,0.0,0.0,0.0,,,ABBOTT LABORATORIES,3845.0,A,1800.0
