recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Siemens Medical Solutions USA, Inc",1002,2,0013-03-05,2026-06-08,SIEMENS MEDICAL SOLUTIONS
"Customed, Inc Calle Igualdad Final # 7",699,1,2011-12-08,2016-01-07,CUSTOMED CALLE IGUALDAD FINAL 7
Arrow International Inc,601,3,2003-07-08,2021-09-20,ARROW
"GE Healthcare, LLC",581,1,2009-02-02,2022-07-15,GE HEALTHCARE
Zimmer Inc.,510,1,2003-01-06,2012-04-30,ZIMMER
Stryker Howmedica Osteonics Corp.,504,1,2004-09-07,2017-04-26,STRYKER HOWMEDICA OSTEONICS
"Zimmer, Inc.",444,1,2010-10-10,2026-05-20,ZIMMER
"Zimmer Biomet, Inc.",414,1,2012-04-19,2020-11-20,ZIMMER BIOMET
Olympus Corporation of the Americas,412,1,2015-08-21,2026-06-05,OLYMPUS OF AMERICAS
Philips Medical Systems (Cleveland) Inc,411,2,2003-04-02,2025-08-05,PHILIPS MEDICAL SYSTEMS CLEVELAND
Baxter Healthcare Corporation,372,2,2011-07-06,2026-05-21,BAXTER HEALTHCARE
Terumo Cardiovascular Systems Corporation,358,2,2007-11-20,2025-05-28,TERUMO CARDIOVASCULAR SYSTEMS
"Windstone Medical Packaging, Inc.",324,1,2015-04-22,2026-05-21,WINDSTONE MEDICAL PACKAGING
"B. Braun Medical, Inc.",315,1,2004-07-06,2024-12-04,B BRAUN MEDICAL
Philips North America Llc,305,1,2020-11-18,2026-06-05,PHILIPS NORTH AMERICA
"The Anspach Effort, Inc.",303,1,2003-04-23,2022-12-07,ANSPACH EFFORT
Stryker Endoscopy,278,1,2004-11-30,2016-03-28,STRYKER ENDOSCOPY
"Maquet Cardiovascular, LLC",269,1,2009-12-17,2026-06-02,MAQUET CARDIOVASCULAR
Teleflex Medical,269,2,2005-01-14,2019-10-30,TELEFLEX MEDICAL
"Merit Medical Systems, Inc.",263,2,2007-04-17,2026-05-08,MERIT MEDICAL SYSTEMS
Centurion Medical Products Corporation,250,2,2011-01-14,2019-12-11,CENTURION MEDICAL PRODUCTS
"Smiths Medical ASD, Inc.",241,4,2003-12-12,2020-01-07,SMITHS MEDICAL ASD
DeRoyal Industries Inc,235,2,2008-10-01,2026-05-18,DEROYAL INDUSTRIES
"Biomet 3i, LLC",235,1,2006-12-11,2020-08-31,BIOMET 3I
"GE Medical Systems, LLC",233,2,2005-08-19,2026-06-05,GE MEDICAL SYSTEMS
Howmedica Osteonics Corp.,233,2,2004-03-31,2026-05-19,HOWMEDICA OSTEONICS
Baxter Healthcare Corp. Rt.,225,1,2004-04-13,2012-09-07,BAXTER HEALTHCARE RT
Bard Peripheral Vascular Inc,224,1,2003-08-20,2023-11-14,BARD PERIPHERAL VASCULAR
Resource Optimization & Innovation Llc,224,1,2015-04-22,2017-09-25,RESOURCE OPTIMIZATION AND INNOVATION
Medtronic Vascular,214,3,2004-06-08,2021-05-04,MEDTRONIC VASCULAR
Terumo Cardiovascular Systems Corp,213,3,2002-11-07,2022-02-03,TERUMO CARDIOVASCULAR SYSTEMS
Roche Diagnostics Corp.,201,1,2002-09-30,2009-06-10,ROCHE DIAGNOSTICS
King Systems Corp.,195,1,0012-12-13,2015-02-17,KING SYSTEMS
"Beaver Visitec International, Inc.",180,1,2021-10-08,2024-07-26,BEAVER VISITEC
Atrium Medical Corporation,177,1,2006-11-08,2024-09-09,ATRIUM MEDICAL
Medtronic Neuromodulation,176,1,2006-06-06,2026-05-13,MEDTRONIC NEUROMODULATION
"CareFusion 303, Inc.",173,1,2011-09-13,2026-04-30,CAREFUSION 303
GE Healthcare,170,4,2005-04-18,2026-01-16,GE HEALTHCARE
Medtronic Sofamor Danek USA Inc,168,1,2006-01-14,2025-09-16,MEDTRONIC SOFAMOR DANEK
B Braun Medical Inc,165,2,2016-04-01,2026-05-06,B BRAUN MEDICAL
Synthes (USA) Products LLC,164,1,2012-05-31,2026-02-25,SYNTHES PRODUCTS
Philips Electronics North America Corporation,160,1,2010-12-17,2018-11-15,PHILIPS ELECTRONICS NORTH AMERICA
