company_name_fda,normalized_name,match_status,gvkey,company_name_compustat,n_gvkey_candidates,review_suggested,n_letters,any_device_letter
1 Stop Chicken Health Shop,1 STOP CHICKEN HEALTH SHOP,unmatched,,,0,False,1,False
10 Days Inc d/b/a Pod Juice,10 DAYS D B A POD JUICE,unmatched,,,0,False,1,False
10057223 Canada Inc. dba Maddog Juice,10057223 CANADA MADDOG JUICE,unmatched,,,0,False,1,False
13 Vapor Co LLC,13 VAPOR,unmatched,,,0,False,1,False
1st Phorm LLC,1ST PHORM,unmatched,,,0,False,1,False
"21 Century Smoking, Inc.",21 CENTURY SMOKING,unmatched,,,0,False,1,False
"2m Associates, Inc.",2M ASSOCIATES,unmatched,,,0,False,1,False
"3RD Day Nutraceuticals, LLC",3RD DAY NUTRACEUTICALS,unmatched,,,0,False,1,False
4U Health,4U HEALTH,unmatched,,,0,False,1,True
"5,000 Years Foods, Inc.",5 000 YEARS FOODS,unmatched,,,0,False,1,False
8OHM1 d/b/a Digital Smoke,8OHM1 D B A DIGITAL SMOKE,unmatched,,,0,False,1,False
9 South Vapes,9 SOUTH VAPES,unmatched,,,0,False,1,False
A TO Z Distributor Inc,A TO Z DISTRIBUTOR,unmatched,,,0,False,1,False
A-Z Tobacco Inc d/b/a A-Z Tobacco and Vapor,A Z TOBACCO D B A A Z TOBACCO AND VAPOR,unmatched,,,0,False,1,False
"AACE Pharmaceuticals, Inc.",AACE PHARMACEUTICALS,unmatched,,,0,False,1,False
ABR Laboratory LLC,ABR LABORATORY,unmatched,,,0,False,1,False
ADM Animal Nutrition,ADM ANIMAL NUTRITION,unmatched,,,0,False,1,False
"ALI Pharmaceutical Manufacturing, LLC",ALI PHARMACEUTICAL MANUFACTURING,unmatched,,,0,False,1,False
"ALVA-AMCO Pharmacal Companies, LLC",ALVA AMCO PHARMACAL COMPANIES,unmatched,,,0,False,1,False
"APG SEVEN, INC",APG SEVEN,unmatched,,,0,False,1,False
AT Vapors LLC,AT VAPORS,unmatched,,,0,False,1,False
ATL Vaping Inc.,ATL VAPING,unmatched,,,0,False,1,False
"Absolute Vapor Lounge, LLC",ABSOLUTE VAPOR LOUNGE,unmatched,,,0,False,1,False
"Accupack Midwest, Inc.",ACCUPACK MIDWEST,unmatched,,,0,False,1,False
"Aceva, LLC",ACEVA,unmatched,,,0,False,1,False
Acme Smoked Fish Corp.,ACME SMOKED FISH,unmatched,,,0,False,1,False
Acrostak Schweiz AG,ACROSTAK SCHWEIZ,unmatched,,,0,False,1,True
"Adamson Analytical Laboratories, Inc.",ADAMSON ANALYTICAL LABORATORIES,unmatched,,,0,False,1,False
"Advanced Nutriceuticals, LLC dba The Guyer Institute of Molecular Medicine",ADVANCED NUTRICEUTICALS GUYER INSTITUTE OF MOLECULAR MEDICINE,unmatched,,,0,False,1,False
Adventure Innovations LLC,ADVENTURE INNOVATIONS,unmatched,,,0,False,1,True
"Aerosol and Liquid Packaging, Inc.",AEROSOL AND LIQUID PACKAGING,unmatched,,,0,False,1,False
"Agena Bioscience, Inc.",AGENA BIOSCIENCE,unmatched,,,0,False,1,True
Agila Corporation dba Woody’s Pet Food Deli,AGILA WOODY S PET FOOD DELI,unmatched,,,0,False,1,False
"Akan Biosciences, Inc.",AKAN BIOSCIENCES,unmatched,,,0,False,1,False
Akron Formulations India Private Limited,AKRON FORMULATIONS INDIA PRIVATE,unmatched,,,0,False,1,False
Akshar Sales LLC,AKSHAR SALES,unmatched,,,0,False,1,False
Always Fresco LLC,ALWAYS FRESCO,unmatched,,,0,False,1,False
AmLion Toothpaste Mfg. Sdn. Bhd.,AMLION TOOTHPASTE MFG SDN BHD,unmatched,,,0,False,1,False
"AmWiner & Raphe Holdings, LLC dba rapheGenerics Corp",AMWINER AND RAPHE RAPHEGENERICS,unmatched,,,0,False,1,False
"Ambaya Gold Health Products, LLC",AMBAYA GOLD HEALTH PRODUCTS,unmatched,,,0,False,1,False
"American Chinese Natural Herbs, Inc.",AMERICAN CHINESE NATURAL HERBS,unmatched,,,0,False,1,False
"American Distribution and Manufacturing Co., LLC",AMERICAN DISTRIBUTION AND MANUFACTURING,unmatched,,,0,False,1,False
Amman Pharmaceutical Industries,AMMAN PHARMACEUTICAL INDUSTRIES,unmatched,,,0,False,1,False
Ammonia Sport Inc.,AMMONIA SPORT,unmatched,,,0,False,1,False
"Amnio Technology, LLC",AMNIO TECHNOLOGY,unmatched,,,0,False,1,False
"Amor Nino Foods, Inc.",AMOR NINO FOODS,unmatched,,,0,False,1,False
"Amore Produce, LLC",AMORE PRODUCE,unmatched,,,0,False,1,False
"Analytical Food Laboratories, Inc.",ANALYTICAL FOOD LABORATORIES,unmatched,,,0,False,1,False
"Angela M. Stupi, M.D.",ANGELA M STUPI M D,unmatched,,,0,False,1,False
Anglo Freight USA Inc.,ANGLO FREIGHT,unmatched,,,0,False,1,False
Anne’s Daye Ltd dba Tampon Innovations,ANNE S DAYE TAMPON INNOVATIONS,unmatched,,,0,False,1,True
Antaria Pty. Ltd.,ANTARIA PTY,unmatched,,,0,False,1,False
"Antonio E. Blanco, M.D./Vista Health Research, LLC",ANTONIO E BLANCO M D VISTA HEALTH RESEARCH,unmatched,,,0,False,1,False
"Apex Vape, Inc",APEX VAPE,unmatched,,,0,False,1,False
"Apollo Future Technology, Inc.",APOLLO FUTURE TECHNOLOGY,unmatched,,,0,False,1,False
"Apothecary Health Solutions/Right Value Drug Stores, LLC dba Carie Boyd's Prescription Shop",APOTHECARY HEALTH SOLUTIONS RIGHT VALUE DRUG STORES CARIE BOYD S PRESCRIPTION SHOP,unmatched,,,0,False,1,False
"Apothecary Pharma, LLC",APOTHECARY PHARMA,unmatched,,,0,False,1,False
Appleton City Feed Service LLC,APPLETON CITY FEED SERVICE,unmatched,,,0,False,1,False
"Applied Health Solutions, Inc.",APPLIED HEALTH SOLUTIONS,unmatched,,,0,False,1,False
Ar-Rahman Pharm LLC,AR RAHMAN PHARM,unmatched,,,0,False,1,False
"Ardent Animal Health, LLC",ARDENT ANIMAL HEALTH,unmatched,,,0,False,1,False
Ardil Comercial S.R.L.,ARDIL COMERCIAL S R L,unmatched,,,0,False,1,False
"AriBio H&B Co., Ltd.",ARIBIO H AND B,unmatched,,,0,False,1,False
Armstrong County Memorial Hospital,ARMSTRONG COUNTY MEMORIAL HOSPITAL,unmatched,,,0,False,1,False
"Aroma Imports, Inc.",AROMA IMPORTS,unmatched,,,0,False,1,False
Aromas Para El Alma S.A.,AROMAS PARA EL ALMA S A,unmatched,,,0,False,1,False
Artisan Vapor Company,ARTISAN VAPOR,unmatched,,,0,False,1,False
Aruba Aloe Balm N.V.,ARUBA ALOE BALM N V,unmatched,,,0,False,1,False
Aspen Aesthetics dba Fifty 410,ASPEN AESTHETICS FIFTY 410,unmatched,,,0,False,1,False
"Atlanta Supersource, Inc.",ATLANTA SUPERSOURCE,unmatched,,,0,False,1,False
Atomic Vapor,ATOMIC VAPOR,unmatched,,,0,False,1,False
"Augustine Temperature Management, LLC",AUGUSTINE TEMPERATURE MANAGEMENT,unmatched,,,0,False,1,True
Aurobindo Pharmaceutical Limited,AUROBINDO PHARMACEUTICAL,unmatched,,,0,False,1,False
Avalanche Distribution LLC d/b/a Avalanche Vapes,AVALANCHE DISTRIBUTION D B A AVALANCHE VAPES,unmatched,,,0,False,1,False
Avaria Health & Beauty Corp.,AVARIA HEALTH AND BEAUTY,unmatched,,,0,False,1,False
"Avertix Medical, Inc.",AVERTIX MEDICAL,unmatched,,,0,False,1,True
"Azurity Pharmaceuticals, Inc.",AZURITY PHARMACEUTICALS,unmatched,,,0,False,1,False
BAM Group LLC d/b/a VapEscape,BAM D B A VAPESCAPE,unmatched,,,0,False,1,False
BBC Group Limited,BBC,unmatched,,,0,False,1,False
"BC Food LA, LLC, DBA B & C Food Co.",BC FOOD LA B AND C FOOD,unmatched,,,0,False,1,False
"BFL Metal Products Co., LTD",BFL METAL PRODUCTS,unmatched,,,0,False,1,False
"BN Trading, Inc.",BN TRADING,unmatched,,,0,False,1,False
Badfish Drip Co,BADFISH DRIP,unmatched,,,0,False,1,False
Bakery Project Inc. dba Delano Bakery,BAKERY PROJECT DELANO BAKERY,unmatched,,,0,False,1,False
"Baldwin Richardson Foods Pennsauken, LLC",BALDWIN RICHARDSON FOODS PENNSAUKEN,unmatched,,,0,False,1,False
Ballistic Vape,BALLISTIC VAPE,unmatched,,,0,False,1,False
Banner Smoked Fish Inc.,BANNER SMOKED FISH,unmatched,,,0,False,1,False
Barcelona Nut Company Inc.,BARCELONA NUT,unmatched,,,0,False,1,False
Barkey GmbH & Co. KG,BARKEY AND KG,unmatched,,,0,False,1,True
"Barsotti Juice Company, Inc.",BARSOTTI JUICE,unmatched,,,0,False,1,False
Bartlett Cooperative Association Bartlett Feed Mill,BARTLETT COOPERATIVE ASSOCIATION BARTLETT FEED MILL,unmatched,,,0,False,1,False
"Battle Creek Co-op/CHS, LLC dba Progressive Nutrition",BATTLE CREEK OP CHS PROGRESSIVE NUTRITION,unmatched,,,0,False,1,False
"Beard Management Inc. d/b/a Beard Vape Co. d/b/a Lucky Bar Holdings, d/b/a Fifty Bar",BEARD MANAGEMENT D B A BEARD VAPE D B A LUCKY BAR D B A FIFTY BAR,unmatched,,,0,False,1,False
Beauty of Aztlan LLC,BEAUTY OF AZTLAN,unmatched,,,0,False,1,False
"Bell International Laboratories, Inc.",BELL LABORATORIES,unmatched,,,0,False,1,False
Bella Rosa Distribution Inc,BELLA ROSA DISTRIBUTION,unmatched,,,0,False,1,False
Belmont Eyecare LLC,BELMONT EYECARE,unmatched,,,0,False,1,False
"Berkeley Biologics, LLC, previously operating as Elutia, Inc. – Orthobiologics Business Unit, formerly Aziyo Biologics, Inc.",BERKELEY BIOLOGICS PREVIOUSLY OPERATING ELUTIA ORTHOBIOLOGICS BUSINESS UNIT FORMERLY AZIYO BIOLOGICS,unmatched,,,0,False,1,False
Best Vapes Store,BEST VAPES STORE,unmatched,,,0,False,1,False
Betone S.A. de C.V.,BETONE S A DE C V,unmatched,,,0,False,1,False
Better Vapes LLC,BETTER VAPES,unmatched,,,0,False,1,False
Bhargava Phytolab Private Limited,BHARGAVA PHYTOLAB PRIVATE,unmatched,,,0,False,1,False
BioAsia Worldwide Sdn Bhd,BIOASIA WORLDWIDE SDN BHD,unmatched,,,0,False,1,False
BioStem Life Sciences,BIOSTEM LIFE SCIENCES,unmatched,,,0,False,1,False
"Biomic Sciences, LLC dba ION Intelligence of Nature",BIOMIC SCIENCES ION INTELLIGENCE OF NATURE,unmatched,,,0,False,1,False
Bionateo Sp. z.o.o.,BIONATEO SP Z O O,unmatched,,,0,False,1,False
Biopolygen Corp.,BIOPOLYGEN,unmatched,,,0,False,1,True
Bioptimal International,BIOPTIMAL,unmatched,,,0,False,1,True
Biorica International Corp.,BIORICA,unmatched,,,0,False,1,False
Biosensors Interventional Technologies Pte Ltd,BIOSENSORS INTERVENTIONAL TECHNOLOGIES,unmatched,,,0,False,1,True
Black Hills Vapors LLC,BLACK HILLS VAPORS,unmatched,,,0,False,1,False
"Black Note, Inc.",BLACK NOTE,unmatched,,,0,False,1,False
Blackbeard Vapor LLC,BLACKBEARD VAPOR,unmatched,,,0,False,2,False
"Blackfly Investments, LLC dba Molecular® Testing Labs",BLACKFLY INVESTMENTS MOLECULAR TESTING LABS,unmatched,,,0,False,1,True
Bliv Wellness LLC dba Bliv,BLIV WELLNESS BLIV,unmatched,,,0,False,1,False
Blue Caribbean Foods Inc.,BLUE CARIBBEAN FOODS,unmatched,,,0,False,1,False
Blue Poppy Enterprises Inc,BLUE POPPY ENTERPRISES,unmatched,,,0,False,1,False
Blue Willow Biologics,BLUE WILLOW BIOLOGICS,unmatched,,,0,False,1,False
BluefitMD,BLUEFITMD,unmatched,,,0,False,1,False
Bodywell Natural Skin Care Inc.,BODYWELL NATURAL SKIN CARE,unmatched,,,0,False,1,False
Boehringer Ingelheim Animal Health USA,BOEHRINGER INGELHEIM ANIMAL HEALTH,unmatched,,,0,False,1,False
Bogart Enterprises LLC d/b/a The Vapor Shop,BOGART ENTERPRISES D B A VAPOR SHOP,unmatched,,,0,False,1,False
Bootstrap Runners LLC d/b/a Sinister Liquids,BOOTSTRAP RUNNERS D B A SINISTER LIQUIDS,unmatched,,,0,False,1,False
"Born Blessed Enterprises, LLC d/b/a One Stop Vape Shop",BORN BLESSED ENTERPRISES D B A ONE STOP VAPE SHOP,unmatched,,,0,False,1,False
Boss Vapes,BOSS VAPES,unmatched,,,0,False,1,False
Bradley Jaramillo LLC d/b/a Trinity Vapor Lounge,BRADLEY JARAMILLO D B A TRINITY VAPOR LOUNGE,unmatched,,,0,False,1,False
Brands International Corporation,BRANDS,unmatched,,,0,False,1,False
Breadbox Co.,BREADBOX,unmatched,,,0,False,1,False
Breeze Smoke Official,BREEZE SMOKE OFFICIAL,unmatched,,,0,False,1,False
"Brenntag Great Lakes, LLC",BRENNTAG GREAT LAKES,unmatched,,,0,False,1,False
"Bret R. Rutherford, M.D.",BRET R RUTHERFORD M D,unmatched,,,0,False,1,False
Brewing Market Coffee,BREWING MARKET COFFEE,unmatched,,,0,False,1,False
Brilliant Enterprises LLC,BRILLIANT ENTERPRISES,unmatched,,,0,False,1,False
"Bugatti Vape, LLC",BUGATTI VAPE,unmatched,,,0,False,1,False
Buku Vapor LLC,BUKU VAPOR,unmatched,,,0,False,1,False
By George Food Specialties Inc.,BY GEORGE FOOD SPECIALTIES,unmatched,,,0,False,1,False
C K Frozen Fish and Food Inc.,C K FROZEN FISH AND FOOD,unmatched,,,0,False,1,False
"C&T Dream Co., Ltd.",C AND T DREAM,unmatched,,,0,False,1,False
CES LLC,CES,unmatched,,,0,False,1,False
"COFISA - Conservas de Peixe da Figueira, S.A.",COFISA CONSERVAS DE PEIXE DA FIGUEIRA S A,unmatched,,,0,False,1,False
CSVAPE.COM LLC,CSVAPE COM,unmatched,,,0,False,1,False
Cajun Vapes LLC,CAJUN VAPES,unmatched,,,0,False,1,False
California Bread Co.,CALIFORNIA BREAD,unmatched,,,0,False,1,False
California Terra Garden Inc.,CALIFORNIA TERRA GARDEN,unmatched,,,0,False,1,False
California Veterinary Supply,CALIFORNIA VETERINARY SUPPLY,unmatched,,,0,False,1,False
CalmCo LLC previously named Ketomi LLC,CALMCO PREVIOUSLY NAMED KETOMI,unmatched,,,0,False,1,False
Candymar Produce Inc,CANDYMAR PRODUCE,unmatched,,,0,False,1,False
Captain's Cloth LLC,CAPTAIN S CLOTH,unmatched,,,0,False,1,True
"Carbon Fire, LLC",CARBON FIRE,unmatched,,,0,False,1,False
Caribbean Cloud Dot Com d/b/a Gorilla Vapes of Forest,CARIBBEAN CLOUD DOT COM D B A GORILLA VAPES OF FOREST,unmatched,,,0,False,1,False
Caribbean Cloud Dot Com d/b/a Gorilla Vapes of Philadelphia,CARIBBEAN CLOUD DOT COM D B A GORILLA VAPES OF PHILADELPHIA,unmatched,,,0,False,1,False
Cavevi Naturals LLC,CAVEVI NATURALS,unmatched,,,0,False,1,False
CellEra LLC,CELLERA,unmatched,,,0,False,1,True
"Cencal Vape, Inc.",CENCAL VAPE,unmatched,,,0,False,1,False
Center for Instrumental Analysis of China Pharmaceutical University,CENTER FOR INSTRUMENTAL ANALYSIS OF CHINA PHARMACEUTICAL UNIVERSITY,unmatched,,,0,False,1,False
"Central Admixture Pharmacy Services, Inc.",CENTRAL ADMIXTURE PHARMACY SERVICES,unmatched,,,0,False,2,False
Central Vapors and Central Vapors LLC,CENTRAL VAPORS AND CENTRAL VAPORS,unmatched,,,0,False,1,False
Cerci Kozmetik Ve Otel Ekipmanlari Pazarlama Ic Ve Dis Ticaret Limited Sirketi,CERCI KOZMETIK VE OTEL EKIPMANLARI PAZARLAMA IC VE DIS TICARET SIRKETI,unmatched,,,0,False,1,False
Chain Vapez LLC,CHAIN VAPEZ,unmatched,,,0,False,1,False
Chameleon Beverage Co. Inc. dba Chameleon Sanitizer Corporation,CHAMELEON BEVERAGE CHAMELEON SANITIZER,unmatched,,,0,False,1,False
"Chara Biologics, Inc.",CHARA BIOLOGICS,unmatched,,,0,False,1,False
Cheap MistHub,CHEAP MISTHUB,unmatched,,,0,False,1,False
"Chem-Tech, Ltd.",CHEM TECH,unmatched,,,0,False,1,False
Chemco Corporation,CHEMCO,unmatched,,,0,False,1,False
"Chengdu Innovation Pharmaceutical Co., Ltd.",CHENGDU INNOVATION PHARMACEUTICAL,unmatched,,,0,False,1,False
Chill6,CHILL6,unmatched,,,0,False,1,False
"Choice All Natural, Inc. dba Om Botanical",CHOICE ALL NATURAL OM BOTANICAL,unmatched,,,0,False,1,False
"Chongqing Tianrun Food Development Co., Ltd",CHONGQING TIANRUN FOOD DEVELOPMENT,unmatched,,,0,False,1,False
Chris Brown Vapes,CHRIS BROWN VAPES,unmatched,,,0,False,1,False
Chula Vista Imports Ltd.,CHULA VISTA IMPORTS,unmatched,,,0,False,1,False
Cipla Limited,CIPLA,unmatched,,,0,False,1,False
Citra100mg,CITRA100MG,unmatched,,,0,False,1,False
"CloudT3n, LLC d/b/a The Cloud",CLOUDT3N D B A CLOUD,unmatched,,,0,False,1,False
CloudXVapes Plus LLC d/b/a CloudXVapes,CLOUDXVAPES PLUS D B A CLOUDXVAPES,unmatched,,,0,False,1,False
Cohere Beauty,COHERE BEAUTY,unmatched,,,0,False,1,False
"Colgin, Inc.",COLGIN,unmatched,,,0,False,1,False
"Concord Farms, Inc.",CONCORD FARMS,unmatched,,,0,False,1,False
"Cookies-n-Milk, LLC",COOKIES N MILK,unmatched,,,0,False,1,False
Coombe Castle International Ltd.,COOMBE CASTLE,unmatched,,,0,False,1,False
Cooper Institute,COOPER INSTITUTE,unmatched,,,0,False,1,False
Cosmax NBT USA,COSMAX NBT,unmatched,,,0,False,1,False
"Cosmetic Specialty Labs, Inc.",COSMETIC SPECIALTY LABS,unmatched,,,0,False,1,False
"Cosmic Fog Vapors Operating Company, LLC",COSMIC FOG VAPORS OPERATING,unmatched,,,0,False,1,False
"Cosmo Bio Co., Ltd.",COSMO BIO,unmatched,,,0,False,1,False
Cosmobeauti Laboratories & Manufacturing Inc.,COSMOBEAUTI LABORATORIES AND MANUFACTURING,unmatched,,,0,False,1,False
Curtis Jacquot dba Pacific BioLogic Co.,CURTIS JACQUOT PACIFIC BIOLOGIC,unmatched,,,0,False,1,False
Custom Vapor Blends LLC,CUSTOM VAPOR BLENDS,unmatched,,,0,False,1,False
Custom Vapors LLC,CUSTOM VAPORS,unmatched,,,0,False,1,False
"Cyberliquids, LLC",CYBERLIQUIDS,unmatched,,,0,False,1,False
